length_mm,target_coherence,overlap_phase_deg
24.4,0.44063174939712224,15.683395536416246
24.45,0.4409583367209979,14.71860475844656
24.5,0.44128123753544796,13.753431893029488
24.55,0.4416003960652694,12.787876107403388
24.6,0.4419157508852932,11.821936502233292
24.65,0.44222723482504334,10.855612112057855
24.7,0.4425347748692414,9.888901905704813
24.75,0.4428382920541745,8.92180478667285
24.8,0.4431377013598791,7.9543195934817685
24.85,0.44343291159815557,6.986445099990486
24.9,0.4437238252963953,6.018180015683526
24.95,0.4440103385772153,5.049522985926832
25.0,0.44429234103391696,4.080472592192589
25.05,0.44456971560177827,3.111027352253051
25.1,0.4448423384251916,2.141185720344886
25.15,0.445110078720684,1.1709460873022621
25.2,0.44537279863586277,0.20030678066084934
25.25,0.44563035310430704,-0.7707339352679254
25.3,0.4458825896964905,-1.7421778593528605
25.35,0.44612934846679986,-2.714026853628531
25.4,0.44637046179670836,-3.6862828433099497
25.45,0.44660575423422477,-4.658947816837112
25.5,0.44683504232970905,-5.632023825948905
25.55,0.44705813446819836,-6.605512985786594
25.6,0.4472748306983575,-7.5794174750273715
25.65,0.4474849225582336,-8.553739536046866
25.7,0.4476881928979986,-9.528481475112175
25.75,0.447884415699855,-10.503645662604441
25.8,0.44807335589534864,-11.479234533272015
25.85,0.4482547691803231,-12.45525058651404
25.9,0.4484284018277959,-13.431696386693936
25.95,0.44859399049904086,-14.408574563485262
26.0,0.4487512620532105,-15.385887812247455
26.05,0.4488999333558552,-16.36363889443398
26.1,0.4490397110867358,-17.341830638032473
26.15,0.4491702915473269,-18.320465938036822
26.2,0.4492913604685013,-19.2995477569532
26.25,0.44940259281886535,-20.27907912533789
26.3,0.44950365261430286,-21.259063142370724
26.35,0.44959419272928486,-22.2395029764621
26.4,0.4496738547105916,-23.220401865894985
26.45,0.44974226859408295,-24.20176311950382
26.5,0.4497990527252702,-25.183590117388345
26.55,0.449843813584418,-26.165886311666135
26.6,0.44987614561702355,-27.148655227262417
26.65,0.4498956310705315,-28.131900462738617
26.7,0.44990183983820436,-29.11562569116163
26.75,0.4498943293111523,-30.099834661012366
26.8,0.44987264423955814,-31.084531197137906
26.85,0.44983631660418644,-32.0697192017444
